City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
174,Wanning,CN,2021-12-22 10:57:55,18.8003,110.3967,69.96,84,42,8.37
175,Salalah,OM,2021-12-22 10:57:56,17.0151,54.0924,77.45,61,8,6.87
176,Muros,ES,2021-12-22 11:01:54,42.7762,-9.0603,61.23,83,29,18.77
177,Ilulissat,GL,2021-12-22 11:01:54,69.2167,-51.1,37.42,35,40,28.77
178,Carnarvon,AU,2021-12-22 11:01:06,-24.8667,113.6333,72.16,74,0,24.52
179,Forestville,US,2021-12-22 10:57:22,38.8451,-76.875,39.07,93,1,0.0
180,Srednekolymsk,RU,2021-12-22 11:01:55,67.45,153.6833,-38.6,100,63,5.39
181,Chuy,UY,2021-12-22 11:01:55,-33.6971,-53.4616,71.2,71,54,8.55
182,Goderich,CA,2021-12-22 11:01:33,43.7501,-81.7165,30.9,77,100,30.53
183,Grafton,US,2021-12-22 11:01:55,42.207,-71.6856,39.15,83,90,1.01
184,Pangody,RU,2021-12-22 11:01:56,65.85,74.4859,10.38,94,100,20.45
185,Vao,NC,2021-12-22 11:01:56,-22.6667,167.4833,76.03,78,65,14.9
186,Emerald,AU,2021-12-22 11:01:57,-23.5333,148.1667,82.98,26,76,7.65
187,Edd,ER,2021-12-22 11:01:57,13.9297,41.6925,84.45,62,1,15.46
188,Victoria,HK,2021-12-22 10:59:10,22.2855,114.1577,71.19,82,51,1.99
189,Sakakah,SA,2021-12-22 11:01:57,29.9697,40.2064,58.6,38,0,3.33
190,Seoul,KR,2021-12-22 10:57:59,37.5683,126.9778,36.88,74,0,2.3
191,Towada,JP,2021-12-22 11:01:58,40.6127,141.2067,28.2,77,33,13.49
192,Aksu,CN,2021-12-22 11:01:58,41.1231,80.2644,31.1,38,6,1.43
193,Mehamn,NO,2021-12-22 11:01:58,71.0357,27.8492,32.18,100,90,18.41
194,Kalang,PH,2021-12-22 11:01:59,5.9197,121.3631,78.73,75,100,4.59
195,Mount Gambier,AU,2021-12-22 10:59:57,-37.8333,140.7667,55.31,71,9,10.36
196,Alta Floresta,BR,2021-12-22 10:59:56,-9.8756,-56.0861,72.95,98,100,1.54
197,Louga,RU,2021-12-22 11:01:59,58.7372,29.8453,14.7,87,33,6.38
198,Bethel,US,2021-12-22 11:02:00,41.3712,-73.414,42.12,91,90,0.0
199,Barrow,US,2021-12-22 11:00:01,71.2906,-156.7887,-0.38,78,90,19.57
200,Fatsa,TR,2021-12-22 11:02:00,41.0278,37.5014,38.66,81,90,11.1
201,Tura,IN,2021-12-22 11:02:01,25.5198,90.2201,62.58,67,61,2.62
202,Karratha,AU,2021-12-22 11:02:01,-20.7377,116.8463,92.23,39,1,24.45
203,Tazovskiy,RU,2021-12-22 11:02:01,67.4667,78.7,-0.89,96,100,20.58
204,Trairi,BR,2021-12-22 10:59:34,-3.2778,-39.2689,84.99,61,29,13.13
205,Verkhnyaya Inta,RU,2021-12-22 11:02:02,65.9811,60.3094,0.18,97,100,3.74
206,Korgen,NO,2021-12-22 11:02:02,66.0771,13.8153,24.51,89,74,3.56
207,Nago,JP,2021-12-22 11:02:02,26.5881,127.9761,68.07,90,100,12.01
208,Sorland,NO,2021-12-22 11:02:03,67.667,12.6934,35.46,57,41,3.91
209,Kruisfontein,ZA,2021-12-22 11:02:03,-34.0033,24.7314,72.88,55,77,17.98
210,Sisimiut,GL,2021-12-22 11:02:03,66.9395,-53.6735,32.56,64,95,11.61
211,Mazagao,BR,2021-12-22 11:02:04,-0.115,-51.2894,78.8,87,89,5.12
212,Hukuntsi,BW,2021-12-22 11:02:04,-24.0,21.75,88.09,28,2,10.96
213,Nanortalik,GL,2021-12-22 11:02:05,60.1432,-45.2371,38.08,76,100,12.21
214,Kavaratti,IN,2021-12-22 11:02:05,10.5669,72.642,80.04,57,6,2.93
215,Ostrovnoy,RU,2021-12-22 11:02:05,68.0531,39.5131,26.42,70,100,17.56
216,Tasiilaq,GL,2021-12-22 11:02:05,65.6145,-37.6368,33.96,53,19,5.59
217,Labytnangi,RU,2021-12-22 11:02:06,66.6572,66.4183,-2.4,98,100,11.68
218,Glenwood Springs,US,2021-12-22 11:02:06,39.5505,-107.3248,34.83,35,1,13.8
219,Riorges,FR,2021-12-22 11:02:06,46.0418,4.0497,34.68,59,10,7.43
220,Palmer,US,2021-12-22 11:00:12,42.1584,-72.3287,36.73,81,100,3.02
221,Zhanakorgan,KZ,2021-12-22 11:02:07,43.9098,67.2495,49.77,68,100,12.57
222,Mazamet,FR,2021-12-22 11:02:07,43.49,2.373,51.42,73,0,21.85
223,Ascension,US,2021-12-22 11:03:08,30.2169,-90.9001,39.2,100,1,0.0
224,Dalbandin,PK,2021-12-22 11:03:08,28.8947,64.4101,80.55,16,2,9.98
225,Houston,US,2021-12-22 10:59:38,29.7633,-95.3633,51.31,87,81,3.0
226,Kaeo,NZ,2021-12-22 11:03:08,-35.1,173.7833,64.33,84,100,6.93
227,Broome,US,2021-12-22 11:03:09,42.2506,-75.833,32.9,81,75,4.0
228,Ahuimanu,US,2021-12-22 11:03:09,21.4447,-157.8378,73.11,71,90,3.0
229,Caravelas,BR,2021-12-22 11:03:09,-17.7125,-39.2481,74.59,93,77,7.4
230,Boa Vista,BR,2021-12-22 11:03:09,2.8197,-60.6733,78.78,83,40,6.91
231,Bareli,IN,2021-12-22 11:03:10,28.35,79.4167,67.8,29,3,1.63
232,Yumen,CN,2021-12-22 11:03:10,40.2833,97.2,28.4,31,76,3.11
233,Santa Fe,AR,2021-12-22 11:00:00,-31.6333,-60.7,77.76,77,51,4.0
234,Tweed,CA,2021-12-22 11:00:12,44.4751,-77.3162,39.13,93,83,14.36
235,Talnakh,RU,2021-12-22 11:03:11,69.4865,88.3972,1.2,79,100,9.69
236,Quang Ngai,VN,2021-12-22 11:01:26,15.1167,108.8,71.1,88,100,6.08
237,Nhulunbuy,AU,2021-12-22 11:03:11,-12.2333,136.7667,86.61,62,33,5.75
238,Dukat,RU,2021-12-22 11:03:12,62.55,155.55,-24.79,97,98,6.89
239,Jardim,BR,2021-12-22 10:59:52,-21.4803,-56.1381,78.28,52,100,1.3
240,Usakos,NA,2021-12-22 11:03:12,-22.0,15.6,90.86,14,0,20.04
241,Ust-Maya,RU,2021-12-22 11:03:12,60.4167,134.5333,-48.39,100,89,1.86
242,Waddan,LY,2021-12-22 11:03:13,29.1614,16.139,61.99,25,45,2.04
243,Kresttsy,RU,2021-12-22 11:03:13,58.2452,32.5165,7.66,94,98,5.35
244,Severomuysk,RU,2021-12-22 11:03:13,56.1481,113.4267,-38.54,96,49,5.19
245,Mudbidri,IN,2021-12-22 11:03:14,13.0833,74.9833,83.82,58,1,5.75
246,Iracoubo,GF,2021-12-22 11:01:12,5.4802,-53.2011,77.95,92,99,14.12
247,Henties Bay,NA,2021-12-22 11:03:14,-22.116,14.2845,69.85,65,2,11.07
248,Ihosy,MG,2021-12-22 11:03:14,-22.4,46.1167,90.16,34,75,15.59
249,Verkhoyansk,RU,2021-12-22 11:03:15,67.5447,133.385,-30.35,87,100,3.42
250,Ndele,CF,2021-12-22 11:03:15,8.4109,20.6473,94.1,15,20,9.22
251,Geraldton,AU,2021-12-22 11:03:15,-28.7667,114.6,72.01,78,75,21.85
252,Luganville,VU,2021-12-22 11:03:16,-15.5333,167.1667,79.25,84,72,3.04
253,Pingzhuang,CN,2021-12-22 11:03:16,42.0372,119.2889,18.16,46,0,4.79
254,Saint-Philippe,RE,2021-12-22 11:03:16,-21.3585,55.7679,84.47,89,94,17.45
255,Santo Domingo,DO,2021-12-22 11:02:31,18.5001,-69.9886,71.92,88,20,0.0
256,Torbay,CA,2021-12-22 11:00:13,47.6666,-52.7314,27.75,84,11,1.01
257,Viedma,AR,2021-12-22 11:03:17,-40.8135,-62.9967,64.8,51,0,0.87
258,Dingle,PH,2021-12-22 11:03:17,10.9995,122.6711,76.44,88,100,6.08
259,Xining,CN,2021-12-22 11:03:18,36.6167,101.7667,28.58,29,92,2.15
260,Pombia,IT,2021-12-22 11:03:18,45.653,8.6336,45.01,77,75,4.61
261,Culpeper,US,2021-12-22 11:03:18,38.5004,-77.9664,36.21,89,1,0.0
262,Lokosovo,RU,2021-12-22 11:03:19,61.1333,74.8167,23.83,89,100,16.44
263,Mecca,SA,2021-12-22 11:03:19,21.4267,39.8261,82.09,34,0,7.63
264,Cockburn Town,TC,2021-12-22 11:03:19,21.4612,-71.1419,78.96,76,91,14.05
265,Novikovo,RU,2021-12-22 11:03:20,51.1537,37.8879,9.18,78,100,10.71
266,Ordu,TR,2021-12-22 11:03:20,40.9086,37.6845,28.9,74,69,7.76
267,Alofi,NU,2021-12-22 11:03:20,-19.0595,-169.9187,79.23,77,64,17.47
268,Sao Joao Da Barra,BR,2021-12-22 11:03:20,-21.6403,-41.0511,78.89,84,10,8.03
269,Liverpool,GB,2021-12-22 11:00:39,53.4106,-2.9779,40.68,89,20,5.01
