City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
194,Beringovskiy,RU,63.05,179.3167,7.56,96,100,17.4,light snow
195,Hargeysa,SO,9.56,44.065,59.5,67,39,5.59,scattered clouds
196,Payo,ID,-3.7508,103.6372,72.82,98,91,1.1,overcast clouds
197,Cochrane,CA,51.1834,-114.4687,-5.39,67,100,5.08,overcast clouds
198,Rio Grande,BR,-32.035,-52.0986,69.94,78,18,14.32,few clouds
199,Leuna,DE,51.3167,12.0167,33.85,86,100,1.01,snow
200,Komatipoort,ZA,-25.4332,31.9548,70.05,84,100,5.08,overcast clouds
201,Lebu,CL,-37.6167,-73.65,57.69,85,0,21.56,clear sky
202,East London,ZA,-33.0153,27.9116,64.15,90,72,10.11,broken clouds
203,Vostok,RU,46.4856,135.8833,-27.83,97,100,1.95,overcast clouds
204,Dingle,PH,10.9995,122.6711,75.29,93,67,6.31,broken clouds
205,Nishihara,JP,26.1842,127.7558,65.48,68,75,31.07,broken clouds
206,Redmond,US,47.674,-122.1215,41.99,89,99,1.01,overcast clouds
207,Sao Joao Batista,BR,-27.2761,-48.8494,73.26,88,35,0.76,scattered clouds
208,Richards Bay,ZA,-28.783,32.0377,67.14,86,93,2.06,overcast clouds
209,Lasa,IT,46.6166,10.7002,30.02,75,99,3.58,overcast clouds
210,Meadow Lake,US,34.8014,-106.5436,48.49,70,100,9.01,overcast clouds
211,Tukrah,LY,32.5341,20.5791,55.0,78,0,3.78,clear sky
212,Hambantota,LK,6.1241,81.1185,71.51,82,8,13.42,clear sky
213,Esil,KZ,51.9556,66.4042,-12.69,100,46,2.46,scattered clouds
214,Los Chiles,CR,11.0333,-84.7167,73.71,92,83,4.21,broken clouds
215,Bandarbeyla,SO,9.4942,50.8122,75.11,68,28,10.63,scattered clouds
216,Billings,US,45.7833,-108.5007,29.37,86,90,5.75,light snow
217,Solnechnyy,RU,50.7214,136.6319,-14.17,90,99,2.21,overcast clouds
218,Cabo San Lucas,MX,22.8909,-109.9124,80.51,56,20,3.44,few clouds
219,San Patricio,US,28.017,-97.5169,77.09,76,94,17.18,overcast clouds
220,Pelotas,BR,-31.7719,-52.3425,69.85,79,4,4.0,clear sky
221,Inhambane,MZ,-23.865,35.3833,75.49,86,88,9.08,overcast clouds
222,Vila,PT,42.0304,-8.1588,44.33,95,86,5.17,overcast clouds
223,Kashi,CN,39.4547,75.9797,22.21,55,18,2.3,few clouds
224,Korla,CN,41.7597,86.1469,23.02,61,4,5.06,clear sky
225,Esperance,AU,-33.8667,121.9,68.4,66,1,12.86,clear sky
226,Angoche,MZ,-16.2325,39.9086,79.23,73,99,11.36,overcast clouds
227,Nikolskoye,RU,59.7035,30.7861,8.49,98,100,2.71,overcast clouds
228,Torbay,CA,47.6666,-52.7314,25.57,82,95,7.0,light snow
229,Chaves,US,33.3834,-104.4505,73.58,48,90,8.05,overcast clouds
230,Mikhaylov,RU,54.2292,39.0186,12.85,92,93,19.42,light snow
231,Linxia,CN,35.6003,103.2064,18.45,87,96,1.88,overcast clouds
232,Maceio,BR,-9.6658,-35.7353,80.47,79,91,13.09,overcast clouds
233,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,91,75,3.0,broken clouds
234,Ancud,CL,-41.8697,-73.8203,62.13,79,20,3.4,few clouds
235,Hadejia,NG,12.4498,10.0444,66.54,15,1,9.33,clear sky
236,Norman Wells,CA,65.282,-126.8329,-7.15,96,100,6.8,overcast clouds
237,Nantucket,US,41.2835,-70.0995,34.14,81,86,4.63,overcast clouds
238,Micheweni,TZ,-4.9667,39.8333,79.02,80,79,4.79,moderate rain
239,Coihaique,CL,-45.5752,-72.0662,64.35,55,75,9.22,broken clouds
240,Bethel,US,41.3712,-73.414,33.04,86,1,0.0,clear sky
241,Kununurra,AU,-15.7667,128.7333,84.18,65,100,8.05,overcast clouds
242,Sychevka,RU,55.8252,34.2736,16.07,94,100,15.64,light snow
243,Namatanai,PG,-3.6667,152.4333,82.85,76,100,13.13,overcast clouds
244,Reconquista,AR,-29.15,-59.65,77.41,35,0,5.75,clear sky
245,Constantine,DZ,36.365,6.6147,49.62,70,98,6.78,overcast clouds
246,Kamra,PK,33.7473,73.5111,40.95,56,12,9.37,few clouds
247,Belyy,RU,55.8402,32.9419,17.89,93,100,11.34,light snow
248,Rawson,AR,-43.3002,-65.1023,65.44,54,0,10.85,clear sky
249,Candido De Abreu,BR,-24.5669,-51.3333,68.23,59,4,3.27,clear sky
250,Ewa Beach,US,21.3156,-158.0072,80.55,57,40,13.8,scattered clouds
251,Meulaboh,ID,4.1363,96.1285,74.37,83,30,3.06,scattered clouds
252,Cayenne,GF,4.9333,-52.3333,79.09,91,75,1.99,broken clouds
253,Komsomolskiy,UZ,40.4272,71.7189,33.22,80,75,4.61,broken clouds
254,College,US,64.8569,-147.8028,-2.54,74,75,3.44,broken clouds
255,Tynda,RU,55.1667,124.7167,-27.62,96,63,4.14,broken clouds
256,Khorramshahr,IR,30.4397,48.1664,56.39,48,36,10.51,scattered clouds
257,Klaksvik,FO,62.2266,-6.589,38.32,55,99,15.48,overcast clouds
258,Tete,MZ,-16.1564,33.5867,76.96,87,97,1.14,overcast clouds
259,Saint Anthony,US,45.0205,-93.218,40.93,84,1,3.0,clear sky
260,Talaya,RU,61.3833,152.75,-21.15,98,100,5.53,overcast clouds
261,Nassau,US,40.7507,-73.5829,38.88,83,1,1.99,clear sky
262,Paita,PE,-5.0892,-81.1144,69.89,82,10,16.75,clear sky
263,Andenes,NO,69.3143,16.1194,30.18,86,75,31.07,freezing rain
264,Broken Hill,AU,-31.95,141.4333,82.2,26,25,13.2,scattered clouds
265,Waipawa,NZ,-41.4122,175.5153,61.93,73,100,8.86,overcast clouds
266,Botou,CN,38.0667,116.5667,11.62,41,0,5.86,clear sky
267,San Cristobal,VE,7.7669,-72.225,73.58,93,93,1.01,overcast clouds
268,Iquitos,PE,-3.7481,-73.2472,78.84,89,40,3.44,scattered clouds
269,Hithadhoo,MV,-0.6,73.0833,81.63,75,32,8.43,scattered clouds
270,Vao,NC,-22.6667,167.4833,77.81,80,20,12.44,few clouds
271,Puerto Quijarro,BO,-17.7833,-57.7667,76.53,93,48,2.28,scattered clouds
272,Naryan-Mar,RU,67.6713,53.087,-13.14,95,85,5.44,overcast clouds
273,Mount Gambier,AU,-37.8333,140.7667,60.71,88,90,16.11,overcast clouds
274,Tessalit,ML,20.1986,1.0114,66.6,16,100,9.84,overcast clouds
275,Camacha,PT,33.0833,-16.3333,63.82,72,20,23.02,few clouds
276,Kuvandyk,RU,51.4781,57.3552,-9.72,100,97,2.1,overcast clouds
277,Muhammadabad,IN,25.6333,83.75,55.29,43,67,2.91,broken clouds
278,Longyearbyen,SJ,78.2186,15.6401,10.24,52,0,16.11,clear sky
279,Alice Town,BS,25.7167,-79.3,73.72,59,1,12.1,clear sky
280,Natal,BR,-5.795,-35.2094,80.44,75,81,10.0,broken clouds
281,Isangel,VU,-19.55,169.2667,84.49,66,10,3.6,clear sky
282,Kodiak,US,57.79,-152.4072,47.71,34,90,3.44,overcast clouds
283,Marzuq,YE,14.4,46.4667,61.36,37,6,5.1,clear sky
284,Kagadi,UG,0.9606,30.7967,65.3,89,92,0.96,light rain
285,Grand-Santi,GF,4.25,-54.3833,73.31,99,100,2.66,overcast clouds
286,Petropavlovka,RU,50.6114,105.3196,-19.53,94,32,3.2,scattered clouds
287,Biltine,TD,14.5333,20.9167,68.38,19,1,13.02,clear sky
288,Abha,SA,18.2164,42.5053,52.05,82,0,5.75,clear sky
289,Manicore,BR,-5.8092,-61.3003,75.13,97,100,1.28,overcast clouds
290,Santa Cruz,BO,-17.8,-63.1667,78.26,89,75,5.75,broken clouds
291,Dikson,RU,73.5069,80.5464,-6.54,88,48,7.96,scattered clouds
292,Rocha,UY,-34.4833,-54.3333,66.54,83,4,8.75,clear sky
293,Batagay,RU,67.6333,134.6333,-47.22,99,92,1.83,overcast clouds
294,Zhezkazgan,KZ,47.8043,67.7144,20.44,93,100,13.49,overcast clouds
295,Sept-Iles,CA,50.2001,-66.3821,13.05,68,100,15.99,overcast clouds
296,Laguna,US,38.421,-121.4238,56.05,71,75,5.01,broken clouds
